logid,timestamp,workorderid_fk,productid_fk,machineid_fk,operatorid_fk,inputquantity,outputgoodquantity,outputdefectquantity,machinestatus,reworkflag,notes
831,2025-01-07 18:31:15,WO-241227170000-214,FPC_DL_PI35,TEST_E_FPC01,OP002,383,375,8,RUNNING,False,
832,2025-01-03 04:36:03,WO-241227170000-829,FPC_DL_PI35,LAMINATE01,OP001,208,206,2,RUNNING,False,
833,2025-01-03 16:58:56,WO-241227170000-829,FPC_DL_PI35,ETCH01,OP004,206,199,7,RUNNING,False,
834,2025-01-04 04:44:32,WO-241227170000-829,FPC_DL_PI35,DRILL_LASER01,OP002,199,192,7,RUNNING,False,
835,2025-01-04 15:17:45,WO-241227170000-829,FPC_DL_PI35,AOI_FPC01,OP003,192,185,7,RUNNING,False,
836,2025-01-05 00:29:56,WO-241227170000-829,FPC_DL_PI35,TEST_E_FPC01,OP002,185,181,4,RUNNING,False,
837,2025-01-03 10:21:46,WO-241228170000-509,FPC_DL_PI35,LAMINATE01,OP004,258,255,3,RUNNING,False,
838,2025-01-03 23:08:50,WO-241228170000-509,FPC_DL_PI35,ETCH01,OP004,255,248,7,RUNNING,False,
839,2025-01-04 12:53:42,WO-241228170000-509,FPC_DL_PI35,DRILL_LASER01,OP005,248,247,1,RUNNING,False,
840,2025-01-05 02:55:23,WO-241228170000-509,FPC_DL_PI35,AOI_FPC01,OP005,247,246,1,RUNNING,False,
841,2025-01-05 16:26:27,WO-241228170000-509,FPC_DL_PI35,TEST_E_FPC01,OP004,246,233,13,RUNNING,False,
842,2025-01-10 12:27:55,WO-241229170000-598,FPC_SL_PI18,LAMINATE01,OP004,8190,8005,185,RUNNING,False,
843,2025-01-19 07:59:23,WO-241229170000-598,FPC_SL_PI18,ETCH01,OP003,8005,7933,72,RUNNING,False,
844,2025-01-26 04:17:46,WO-241229170000-598,FPC_SL_PI18,AOI_FPC01,OP005,7933,7828,105,RUNNING,False,
845,2025-02-05 09:30:49,WO-241229170000-598,FPC_SL_PI18,TEST_E_FPC01,OP003,7828,7559,269,RUNNING,False,
846,2025-01-03 14:32:11,WO-241229170000-196,FPC_DL_PI35,LAMINATE01,OP005,346,336,10,RUNNING,False,
847,2025-01-04 06:32:43,WO-241229170000-196,FPC_DL_PI35,ETCH01,OP001,336,335,1,RUNNING,False,
848,2025-01-05 02:10:19,WO-241229170000-196,FPC_DL_PI35,DRILL_LASER01,OP003,335,332,3,RUNNING,False,
849,2025-01-05 18:09:18,WO-241229170000-196,FPC_DL_PI35,AOI_FPC01,OP002,332,325,7,RUNNING,False,
850,2025-01-06 10:55:47,WO-241229170000-196,FPC_DL_PI35,TEST_E_FPC01,OP002,325,323,2,RUNNING,False,
851,2025-01-23 09:27:22,WO-241230180000-766,ASSY02_FPC_ML4_MPI12,SMT_LINE1_PLACE,OP005,8517,8499,18,RUNNING,False,
852,2025-02-15 10:05:27,WO-241230180000-766,ASSY02_FPC_ML4_MPI12,BOND_ACF01,OP001,8499,8482,17,RUNNING,False,
853,2025-03-13 11:52:52,WO-241230180000-766,ASSY02_FPC_ML4_MPI12,SMT_LINE1_REFLOW,OP004,8482,8463,19,RUNNING,False,
854,2025-04-07 06:34:39,WO-241230180000-766,ASSY02_FPC_ML4_MPI12,AOI_ASSY01,OP005,8463,8446,17,RUNNING,False,
855,2025-05-01 13:05:58,WO-241230180000-766,ASSY02_FPC_ML4_MPI12,TEST_FUNC_ASSY01,OP003,8446,7962,484,RUNNING,False,
856,2025-01-04 18:44:53,WO-241227170000-178,FPC_ML4_MPI12,LAMINATE01,OP005,209,205,4,RUNNING,False,
857,2025-01-05 22:00:11,WO-241227170000-178,FPC_ML4_MPI12,ETCH01,OP004,205,192,13,RUNNING,False,
858,2025-01-06 20:39:52,WO-241227170000-178,FPC_ML4_MPI12,DRILL_LASER01,OP002,192,186,6,RUNNING,False,
859,2025-01-07 21:54:44,WO-241227170000-178,FPC_ML4_MPI12,AOI_FPC01,OP004,186,181,5,RUNNING,False,
860,2025-01-08 17:50:20,WO-241227170000-178,FPC_ML4_MPI12,TEST_E_FPC01,OP004,181,178,3,RUNNING,False,
861,2025-01-17 04:45:16,WO-241227170000-550,FPC_SL_LCP9_HF,LAMINATE01,OP003,8337,7973,364,RUNNING,False,
862,2025-01-30 17:02:17,WO-241227170000-550,FPC_SL_LCP9_HF,ETCH01,OP002,7973,7875,98,RUNNING,False,
863,2025-02-10 23:58:05,WO-241227170000-550,FPC_SL_LCP9_HF,AOI_FPC01,OP003,7875,7706,169,RUNNING,False,
864,2025-02-23 15:37:39,WO-241227170000-550,FPC_SL_LCP9_HF,TEST_E_FPC01,OP001,7706,7679,27,RUNNING,False,
865,2025-01-05 20:10:46,WO-241229170000-218,MODULE_SENSOR_A,SMT_LINE1_PLACE,OP001,292,288,4,RUNNING,False,
866,2025-01-08 00:14:39,WO-241229170000-218,MODULE_SENSOR_A,SMT_LINE1_REFLOW,OP002,288,284,4,RUNNING,False,
867,2025-01-10 04:34:04,WO-241229170000-218,MODULE_SENSOR_A,AOI_ASSY01,OP005,284,283,1,RUNNING,False,
868,2025-01-12 10:38:49,WO-241229170000-218,MODULE_SENSOR_A,TEST_FUNC_ASSY01,OP005,283,278,5,RUNNING,False,
869,2025-01-23 03:26:16,WO-241230180000-302,FPC_DL_PI35,LAMINATE01,OP001,9152,9128,24,RUNNING,False,
870,2025-02-10 20:34:34,WO-241230180000-302,FPC_DL_PI35,ETCH01,OP004,9128,9109,19,RUNNING,False,
871,2025-02-28 12:11:43,WO-241230180000-302,FPC_DL_PI35,DRILL_LASER01,OP003,9109,8910,199,RUNNING,False,
872,2025-03-19 16:19:40,WO-241230180000-302,FPC_DL_PI35,AOI_FPC01,OP001,8910,8791,119,DOWN,False,
873,2025-04-05 07:47:04,WO-241230180000-302,FPC_DL_PI35,TEST_E_FPC01,OP004,8791,8529,262,RUNNING,False,
874,2025-01-04 06:08:22,WO-241230180000-184,FPC_SL_LCP9_HF,LAMINATE01,OP005,289,284,5,RUNNING,False,
875,2025-01-04 16:23:07,WO-241230180000-184,FPC_SL_LCP9_HF,ETCH01,OP001,284,276,8,RUNNING,False,
876,2025-01-05 02:30:03,WO-241230180000-184,FPC_SL_LCP9_HF,AOI_FPC01,OP002,276,264,12,RUNNING,False,
877,2025-01-05 14:36:28,WO-241230180000-184,FPC_SL_LCP9_HF,TEST_E_FPC01,OP005,264,261,3,RUNNING,False,
878,2025-01-05 00:58:01,WO-241230180000-888,ASSY02_FPC_ML4_MPI12,SMT_LINE1_PLACE,OP003,353,344,9,RUNNING,False,
879,2025-01-06 08:12:15,WO-241230180000-888,ASSY02_FPC_ML4_MPI12,BOND_ACF01,OP001,344,331,13,RUNNING,False,
880,2025-01-07 14:57:36,WO-241230180000-888,ASSY02_FPC_ML4_MPI12,SMT_LINE1_REFLOW,OP001,331,324,7,RUNNING,False,
881,2025-01-08 19:44:37,WO-241230180000-888,ASSY02_FPC_ML4_MPI12,AOI_ASSY01,OP002,324,316,8,RUNNING,False,
882,2025-01-09 18:51:35,WO-241230180000-888,ASSY02_FPC_ML4_MPI12,TEST_FUNC_ASSY01,OP005,316,311,5,RUNNING,False,
883,2025-01-08 04:36:57,WO-241228170000-447,MODULE_SENSOR_A,SMT_LINE1_PLACE,OP005,436,435,1,RUNNING,False,
884,2025-01-11 05:11:00,WO-241228170000-447,MODULE_SENSOR_A,SMT_LINE1_REFLOW,OP005,435,433,2,RUNNING,False,
885,2025-01-14 05:19:30,WO-241228170000-447,MODULE_SENSOR_A,AOI_ASSY01,OP001,433,416,17,RUNNING,False,
886,2025-01-17 10:27:03,WO-241228170000-447,MODULE_SENSOR_A,TEST_FUNC_ASSY01,OP001,416,415,1,RUNNING,False,
887,2025-01-24 06:35:32,WO-241228170000-239,FPC_ML4_MPI12,LAMINATE01,OP004,4551,4456,95,RUNNING,False,
888,2025-02-13 21:47:40,WO-241228170000-239,FPC_ML4_MPI12,ETCH01,OP005,4456,4264,192,DOWN,False,
889,2025-03-02 12:07:38,WO-241228170000-239,FPC_ML4_MPI12,DRILL_LASER01,OP003,4264,4197,67,RUNNING,False,
890,2025-03-19 02:38:16,WO-241228170000-239,FPC_ML4_MPI12,AOI_FPC01,OP004,4197,3942,255,RUNNING,False,
891,2025-04-05 07:53:51,WO-241228170000-239,FPC_ML4_MPI12,TEST_E_FPC01,OP002,3942,3854,88,RUNNING,False,
892,2025-01-05 05:47:19,WO-241229170000-991,FPC_DL_PI35,LAMINATE01,OP004,188,185,3,RUNNING,False,
893,2025-01-05 17:16:47,WO-241229170000-991,FPC_DL_PI35,ETCH01,OP002,185,184,1,RUNNING,False,
894,2025-01-06 02:03:34,WO-241229170000-991,FPC_DL_PI35,DRILL_LASER01,OP003,184,183,1,RUNNING,False,
895,2025-01-06 12:21:19,WO-241229170000-991,FPC_DL_PI35,AOI_FPC01,OP003,183,176,7,RUNNING,False,
896,2025-01-06 22:33:51,WO-241229170000-991,FPC_DL_PI35,TEST_E_FPC01,OP002,176,173,3,DOWN,False,
897,2025-01-05 10:35:39,WO-241230180000-142,FPC_SL_LCP9_HF,LAMINATE01,OP002,428,410,18,RUNNING,False,
898,2025-01-06 03:22:35,WO-241230180000-142,FPC_SL_LCP9_HF,ETCH01,OP005,410,409,1,RUNNING,False,
899,2025-01-06 21:27:20,WO-241230180000-142,FPC_SL_LCP9_HF,AOI_FPC01,OP004,409,386,23,RUNNING,False,
900,2025-01-07 15:46:24,WO-241230180000-142,FPC_SL_LCP9_HF,TEST_E_FPC01,OP004,386,385,1,RUNNING,False,
901,2025-01-05 17:12:52,WO-241231180000-676,FPC_ML4_MPI12,LAMINATE01,OP003,173,164,9,RUNNING,False,
902,2025-01-06 12:14:47,WO-241231180000-676,FPC_ML4_MPI12,ETCH01,OP004,164,160,4,RUNNING,False,
903,2025-01-07 07:03:14,WO-241231180000-676,FPC_ML4_MPI12,DRILL_LASER01,OP005,160,153,7,RUNNING,False,
904,2025-01-08 03:05:51,WO-241231180000-676,FPC_ML4_MPI12,AOI_FPC01,OP001,153,146,7,RUNNING,False,
905,2025-01-08 21:01:17,WO-241231180000-676,FPC_ML4_MPI12,TEST_E_FPC01,OP002,146,141,5,RUNNING,False,
906,2025-01-08 22:54:21,WO-241231180000-487,FPC_ML4_MPI12,LAMINATE01,OP003,1089,1069,20,RUNNING,False,
907,2025-01-13 05:15:13,WO-241231180000-487,FPC_ML4_MPI12,ETCH01,OP005,1069,1001,68,RUNNING,False,
908,2025-01-16 23:25:39,WO-241231180000-487,FPC_ML4_MPI12,DRILL_LASER01,OP004,1001,954,47,RUNNING,False,
909,2025-01-20 10:01:15,WO-241231180000-487,FPC_ML4_MPI12,AOI_FPC01,OP002,954,911,43,RUNNING,False,
910,2025-01-24 22:18:11,WO-241231180000-487,FPC_ML4_MPI12,TEST_E_FPC01,OP004,911,892,19,RUNNING,False,
911,2025-01-05 08:51:17,WO-250101170000-534,ASSY01_FPC_SL_PI18,SMT_LINE1_PLACE,OP002,294,290,4,RUNNING,False,
912,2025-01-05 23:56:03,WO-250101170000-534,ASSY01_FPC_SL_PI18,SMT_LINE1_REFLOW,OP001,290,289,1,RUNNING,False,
913,2025-01-06 13:25:19,WO-250101170000-534,ASSY01_FPC_SL_PI18,AOI_ASSY01,OP001,289,270,19,RUNNING,False,
914,2025-01-07 02:07:41,WO-250101170000-534,ASSY01_FPC_SL_PI18,TEST_FUNC_ASSY01,OP001,270,269,1,RUNNING,False,
915,2025-01-05 23:23:57,WO-241231180000-717,ASSY01_FPC_SL_PI18,SMT_LINE1_PLACE,OP002,90,88,2,RUNNING,False,
916,2025-01-06 04:12:43,WO-241231180000-717,ASSY01_FPC_SL_PI18,SMT_LINE1_REFLOW,OP003,88,84,4,RUNNING,False,
917,2025-01-06 08:05:34,WO-241231180000-717,ASSY01_FPC_SL_PI18,AOI_ASSY01,OP001,84,83,1,RUNNING,False,
918,2025-01-06 12:46:44,WO-241231180000-717,ASSY01_FPC_SL_PI18,TEST_FUNC_ASSY01,OP003,83,82,1,RUNNING,False,
919,2025-01-06 10:06:07,WO-241230180000-607,FPC_SL_LCP9_HF,LAMINATE01,OP004,410,397,13,RUNNING,False,
920,2025-01-07 02:34:48,WO-241230180000-607,FPC_SL_LCP9_HF,ETCH01,OP001,397,384,13,RUNNING,False,
921,2025-01-07 18:56:50,WO-241230180000-607,FPC_SL_LCP9_HF,AOI_FPC01,OP004,384,365,19,RUNNING,False,
922,2025-01-08 09:29:04,WO-241230180000-607,FPC_SL_LCP9_HF,TEST_E_FPC01,OP001,365,346,19,RUNNING,False,
923,2025-01-20 02:17:02,WO-241230180000-560,ASSY01_FPC_SL_PI18,SMT_LINE1_PLACE,OP002,7893,7877,16,RUNNING,False,
924,2025-01-31 08:23:01,WO-241230180000-560,ASSY01_FPC_SL_PI18,SMT_LINE1_REFLOW,OP003,7877,7861,16,RUNNING,False,
925,2025-02-13 11:29:26,WO-241230180000-560,ASSY01_FPC_SL_PI18,AOI_ASSY01,OP005,7861,7669,192,RUNNING,False,
926,2025-02-25 04:06:08,WO-241230180000-560,ASSY01_FPC_SL_PI18,TEST_FUNC_ASSY01,OP002,7669,7651,18,RUNNING,False,
927,2025-01-06 09:33:32,WO-241231180000-411,FPC_SL_LCP9_HF,LAMINATE01,OP002,381,360,21,RUNNING,False,
928,2025-01-07 00:31:29,WO-241231180000-411,FPC_SL_LCP9_HF,ETCH01,OP003,360,359,1,DOWN,False,
929,2025-01-07 16:27:58,WO-241231180000-411,FPC_SL_LCP9_HF,AOI_FPC01,OP004,359,345,14,RUNNING,False,
930,2025-01-08 05:51:15,WO-241231180000-411,FPC_SL_LCP9_HF,TEST_E_FPC01,OP004,345,340,5,RUNNING,False,
931,2025-01-14 22:10:32,WO-250101170000-285,FPC_SL_PI18,LAMINATE01,OP002,9832,9563,269,RUNNING,False,
932,2025-01-26 04:43:15,WO-250101170000-285,FPC_SL_PI18,ETCH01,OP001,9563,9543,20,RUNNING,False,
933,2025-02-06 00:31:46,WO-250101170000-285,FPC_SL_PI18,AOI_FPC01,OP001,9543,9521,22,RUNNING,False,
934,2025-02-15 17:47:00,WO-250101170000-285,FPC_SL_PI18,TEST_E_FPC01,OP004,9521,9131,390,RUNNING,False,
935,2025-01-07 13:54:41,WO-250101170000-148,ASSY02_FPC_ML4_MPI12,SMT_LINE1_PLACE,OP002,495,478,17,RUNNING,False,
936,2025-01-09 07:20:53,WO-250101170000-148,ASSY02_FPC_ML4_MPI12,BOND_ACF01,OP005,478,470,8,RUNNING,False,
937,2025-01-10 20:16:35,WO-250101170000-148,ASSY02_FPC_ML4_MPI12,SMT_LINE1_REFLOW,OP002,470,469,1,RUNNING,False,
938,2025-01-12 09:42:51,WO-250101170000-148,ASSY02_FPC_ML4_MPI12,AOI_ASSY01,OP005,469,466,3,RUNNING,False,
939,2025-01-13 22:53:20,WO-250101170000-148,ASSY02_FPC_ML4_MPI12,TEST_FUNC_ASSY01,OP004,466,451,15,RUNNING,False,
940,2025-01-14 12:08:15,WO-250102170000-452,ASSY01_FPC_SL_PI18,SMT_LINE1_PLACE,OP002,4503,4290,213,RUNNING,False,
941,2025-01-21 12:28:38,WO-250102170000-452,ASSY01_FPC_SL_PI18,SMT_LINE1_REFLOW,OP005,4290,4281,9,RUNNING,False,
942,2025-01-28 12:44:05,WO-250102170000-452,ASSY01_FPC_SL_PI18,AOI_ASSY01,OP003,4281,4231,50,RUNNING,False,
943,2025-02-03 12:51:02,WO-250102170000-452,ASSY01_FPC_SL_PI18,TEST_FUNC_ASSY01,OP003,4231,4222,9,RUNNING,False,
944,2025-01-08 04:50:08,WO-241231180000-242,ASSY02_FPC_ML4_MPI12,SMT_LINE1_PLACE,OP002,452,443,9,RUNNING,False,
945,2025-01-09 20:06:31,WO-241231180000-242,ASSY02_FPC_ML4_MPI12,BOND_ACF01,OP005,443,438,5,RUNNING,False,
946,2025-01-11 07:43:37,WO-241231180000-242,ASSY02_FPC_ML4_MPI12,SMT_LINE1_REFLOW,OP005,438,434,4,RUNNING,False,
947,2025-01-12 23:19:24,WO-241231180000-242,ASSY02_FPC_ML4_MPI12,AOI_ASSY01,OP004,434,433,1,RUNNING,False,
948,2025-01-14 10:41:48,WO-241231180000-242,ASSY02_FPC_ML4_MPI12,TEST_FUNC_ASSY01,OP002,433,423,10,RUNNING,False,
949,2025-01-07 07:32:37,WO-241230180000-113,MODULE_SENSOR_A,SMT_LINE1_PLACE,OP004,88,86,2,RUNNING,False,
950,2025-01-07 23:22:02,WO-241230180000-113,MODULE_SENSOR_A,SMT_LINE1_REFLOW,OP002,86,85,1,RUNNING,False,
951,2025-01-08 14:19:39,WO-241230180000-113,MODULE_SENSOR_A,AOI_ASSY01,OP001,85,84,1,RUNNING,False,
952,2025-01-09 03:02:07,WO-241230180000-113,MODULE_SENSOR_A,TEST_FUNC_ASSY01,OP003,84,83,1,RUNNING,False,
953,2025-01-08 20:04:29,WO-241230180000-307,FPC_SL_PI18,LAMINATE01,OP003,2349,2297,52,RUNNING,False,
954,2025-01-11 02:45:18,WO-241230180000-307,FPC_SL_PI18,ETCH01,OP004,2297,2286,11,RUNNING,False,
955,2025-01-13 08:34:05,WO-241230180000-307,FPC_SL_PI18,AOI_FPC01,OP002,2286,2227,59,RUNNING,False,
956,2025-01-16 00:18:36,WO-241230180000-307,FPC_SL_PI18,TEST_E_FPC01,OP002,2227,2199,28,RUNNING,False,
957,2025-01-29 14:58:51,WO-241230180000-952,FPC_ML4_MPI12,LAMINATE01,OP003,5150,5001,149,RUNNING,False,
958,2025-02-21 19:15:23,WO-241230180000-952,FPC_ML4_MPI12,ETCH01,OP004,5001,4889,112,RUNNING,False,
959,2025-03-16 16:22:14,WO-241230180000-952,FPC_ML4_MPI12,DRILL_LASER01,OP001,4889,4776,113,RUNNING,False,
960,2025-04-05 09:47:42,WO-241230180000-952,FPC_ML4_MPI12,AOI_FPC01,OP002,4776,4681,95,RUNNING,False,
961,2025-04-27 00:01:34,WO-241230180000-952,FPC_ML4_MPI12,TEST_E_FPC01,OP003,4681,4617,64,RUNNING,False,
962,2025-01-06 23:27:44,WO-250101170000-992,FPC_SL_PI18,LAMINATE01,OP002,179,178,1,RUNNING,False,
963,2025-01-07 06:08:03,WO-250101170000-992,FPC_SL_PI18,ETCH01,OP001,178,177,1,RUNNING,False,
964,2025-01-07 11:14:52,WO-250101170000-992,FPC_SL_PI18,AOI_FPC01,OP005,177,171,6,RUNNING,False,
965,2025-01-07 16:10:13,WO-250101170000-992,FPC_SL_PI18,TEST_E_FPC01,OP002,171,167,4,RUNNING,False,
966,2025-01-18 00:59:55,WO-241231180000-543,FPC_DL_PI35,LAMINATE01,OP001,5462,5400,62,RUNNING,False,
967,2025-01-28 13:44:42,WO-241231180000-543,FPC_DL_PI35,ETCH01,OP003,5400,5389,11,RUNNING,False,
968,2025-02-08 04:21:12,WO-241231180000-543,FPC_DL_PI35,DRILL_LASER01,OP002,5389,5276,113,RUNNING,False,
969,2025-02-18 04:01:03,WO-241231180000-543,FPC_DL_PI35,AOI_FPC01,OP002,5276,5099,177,RUNNING,False,
970,2025-02-26 16:23:59,WO-241231180000-543,FPC_DL_PI35,TEST_E_FPC01,OP004,5099,5088,11,RUNNING,False,
971,2025-01-09 20:19:56,WO-241231180000-903,FPC_ML4_MPI12,LAMINATE01,OP002,469,456,13,RUNNING,False,
972,2025-01-11 23:41:34,WO-241231180000-903,FPC_ML4_MPI12,ETCH01,OP004,456,421,35,RUNNING,False,
973,2025-01-14 10:17:43,WO-241231180000-903,FPC_ML4_MPI12,DRILL_LASER01,OP003,421,413,8,RUNNING,False,
974,2025-01-16 16:37:26,WO-241231180000-903,FPC_ML4_MPI12,AOI_FPC01,OP001,413,391,22,RUNNING,False,
975,2025-01-18 20:53:39,WO-241231180000-903,FPC_ML4_MPI12,TEST_E_FPC01,OP003,391,386,5,RUNNING,False,
976,2025-01-20 01:21:59,WO-241231180000-435,MODULE_SENSOR_A,SMT_LINE1_PLACE,OP002,1761,1730,31,RUNNING,False,
977,2025-01-31 20:05:33,WO-241231180000-435,MODULE_SENSOR_A,SMT_LINE1_REFLOW,OP002,1730,1695,35,RUNNING,False,
978,2025-02-12 02:13:23,WO-241231180000-435,MODULE_SENSOR_A,AOI_ASSY01,OP003,1695,1667,28,RUNNING,False,
979,2025-02-19 18:27:22,WO-241231180000-435,MODULE_SENSOR_A,TEST_FUNC_ASSY01,OP004,1667,1652,15,RUNNING,False,
980,2025-01-07 23:21:11,WO-250102170000-931,FPC_SL_PI18,LAMINATE01,OP001,192,191,1,RUNNING,False,
981,2025-01-08 05:00:54,WO-250102170000-931,FPC_SL_PI18,ETCH01,OP005,191,190,1,RUNNING,False,
982,2025-01-08 10:47:12,WO-250102170000-931,FPC_SL_PI18,AOI_FPC01,OP004,190,182,8,RUNNING,False,
983,2025-01-08 16:13:20,WO-250102170000-931,FPC_SL_PI18,TEST_E_FPC01,OP002,182,180,2,RUNNING,False,
984,2025-02-12 11:56:26,WO-250102170000-848,FPC_ML4_MPI12,LAMINATE01,OP002,7581,7167,414,RUNNING,False,
985,2025-03-08 01:32:43,WO-250102170000-848,FPC_ML4_MPI12,ETCH01,OP005,7167,6861,306,RUNNING,False,
986,2025-04-03 09:10:52,WO-250102170000-848,FPC_ML4_MPI12,DRILL_LASER01,OP004,6861,6639,222,RUNNING,False,
987,2025-05-05 05:38:49,WO-250102170000-848,FPC_ML4_MPI12,AOI_FPC01,OP005,6639,6348,291,RUNNING,False,
988,2025-06-04 04:33:44,WO-250102170000-848,FPC_ML4_MPI12,TEST_E_FPC01,OP005,6348,6218,130,RUNNING,False,
989,2025-01-10 15:29:48,WO-250103170000-413,MODULE_SENSOR_A,SMT_LINE1_PLACE,OP004,412,411,1,RUNNING,False,
990,2025-01-13 15:06:39,WO-250103170000-413,MODULE_SENSOR_A,SMT_LINE1_REFLOW,OP002,411,410,1,RUNNING,False,
991,2025-01-16 01:59:27,WO-250103170000-413,MODULE_SENSOR_A,AOI_ASSY01,OP002,410,409,1,RUNNING,False,
992,2025-01-18 12:42:33,WO-250103170000-413,MODULE_SENSOR_A,TEST_FUNC_ASSY01,OP003,409,399,10,RUNNING,False,
993,2025-02-20 14:52:54,WO-250103170000-404,MODULE_SENSOR_A,SMT_LINE1_PLACE,OP005,9801,9781,20,RUNNING,False,
994,2025-04-24 03:47:03,WO-250103170000-404,MODULE_SENSOR_A,SMT_LINE1_REFLOW,OP004,9781,9761,20,RUNNING,False,
995,2025-06-18 10:32:04,WO-250103170000-404,MODULE_SENSOR_A,AOI_ASSY01,OP003,9761,9279,482,RUNNING,False,
996,2025-08-07 10:25:22,WO-250103170000-404,MODULE_SENSOR_A,TEST_FUNC_ASSY01,OP005,9279,9006,273,RUNNING,False,
997,2025-01-08 00:22:39,WO-250103170000-341,ASSY02_FPC_ML4_MPI12,SMT_LINE1_PLACE,OP004,76,75,1,RUNNING,False,
998,2025-01-08 06:37:21,WO-250103170000-341,ASSY02_FPC_ML4_MPI12,BOND_ACF01,OP003,75,72,3,RUNNING,False,
999,2025-01-08 11:51:08,WO-250103170000-341,ASSY02_FPC_ML4_MPI12,SMT_LINE1_REFLOW,OP003,72,71,1,RUNNING,False,
1000,2025-01-08 17:15:12,WO-250103170000-341,ASSY02_FPC_ML4_MPI12,AOI_ASSY01,OP001,71,70,1,RUNNING,False,
1001,2025-01-08 23:46:15,WO-250103170000-341,ASSY02_FPC_ML4_MPI12,TEST_FUNC_ASSY01,OP001,70,68,2,RUNNING,False,
1002,2025-01-22 05:55:50,WO-250103170000-864,ASSY01_FPC_SL_PI18,SMT_LINE1_PLACE,OP003,9836,9625,211,RUNNING,False,
1003,2025-02-03 19:51:31,WO-250103170000-864,ASSY01_FPC_SL_PI18,SMT_LINE1_REFLOW,OP005,9625,9517,108,RUNNING,False,
1004,2025-02-17 01:54:47,WO-250103170000-864,ASSY01_FPC_SL_PI18,AOI_ASSY01,OP002,9517,9497,20,RUNNING,False,
1005,2025-03-03 05:29:18,WO-250103170000-864,ASSY01_FPC_SL_PI18,TEST_FUNC_ASSY01,OP005,9497,9138,359,RUNNING,False,
1006,2025-02-04 20:38:22,WO-250104180000-855,ASSY02_FPC_ML4_MPI12,SMT_LINE1_PLACE,OP003,8970,8938,32,RUNNING,False,
1007,2025-02-24 23:28:54,WO-250104180000-855,ASSY02_FPC_ML4_MPI12,BOND_ACF01,OP005,8938,8643,295,RUNNING,False,
1008,2025-03-22 17:50:49,WO-250104180000-855,ASSY02_FPC_ML4_MPI12,SMT_LINE1_REFLOW,OP003,8643,8625,18,RUNNING,False,
1009,2025-04-16 00:20:03,WO-250104180000-855,ASSY02_FPC_ML4_MPI12,AOI_ASSY01,OP001,8625,8307,318,RUNNING,False,
1010,2025-05-06 10:18:04,WO-250104180000-855,ASSY02_FPC_ML4_MPI12,TEST_FUNC_ASSY01,OP001,8307,8254,53,RUNNING,False,
1011,2025-01-30 06:28:15,WO-250104180000-214,ASSY02_FPC_ML4_MPI12,SMT_LINE1_PLACE,OP001,8472,8346,126,RUNNING,False,
1012,2025-02-19 02:12:28,WO-250104180000-214,ASSY02_FPC_ML4_MPI12,BOND_ACF01,OP003,8346,8024,322,RUNNING,False,
1013,2025-03-09 18:27:39,WO-250104180000-214,ASSY02_FPC_ML4_MPI12,SMT_LINE1_REFLOW,OP002,8024,8007,17,RUNNING,False,
1014,2025-03-29 02:04:31,WO-250104180000-214,ASSY02_FPC_ML4_MPI12,AOI_ASSY01,OP003,8007,7717,290,RUNNING,False,
1015,2025-04-19 01:32:38,WO-250104180000-214,ASSY02_FPC_ML4_MPI12,TEST_FUNC_ASSY01,OP004,7717,7506,211,RUNNING,False,
1016,2025-01-08 19:46:00,WO-250101170000-834,ASSY01_FPC_SL_PI18,SMT_LINE1_PLACE,OP002,61,59,2,RUNNING,False,
1017,2025-01-08 22:21:34,WO-250101170000-834,ASSY01_FPC_SL_PI18,SMT_LINE1_REFLOW,OP005,59,58,1,RUNNING,False,
1018,2025-01-09 01:02:32,WO-250101170000-834,ASSY01_FPC_SL_PI18,AOI_ASSY01,OP001,58,57,1,RUNNING,False,
1019,2025-01-09 04:02:43,WO-250101170000-834,ASSY01_FPC_SL_PI18,TEST_FUNC_ASSY01,OP004,57,56,1,RUNNING,False,
1020,2025-01-25 12:02:15,WO-250102170000-923,FPC_DL_PI35,LAMINATE01,OP001,7418,7340,78,RUNNING,False,
1021,2025-02-07 10:10:55,WO-250102170000-923,FPC_DL_PI35,ETCH01,OP004,7340,6891,449,RUNNING,False,
1022,2025-02-19 22:22:39,WO-250102170000-923,FPC_DL_PI35,DRILL_LASER01,OP001,6891,6653,238,RUNNING,False,
1023,2025-03-03 12:19:50,WO-250102170000-923,FPC_DL_PI35,AOI_FPC01,OP002,6653,6485,168,RUNNING,False,
1024,2025-03-14 14:50:16,WO-250102170000-923,FPC_DL_PI35,TEST_E_FPC01,OP004,6485,6357,128,RUNNING,False,
1025,2025-01-16 08:11:34,WO-250104180000-111,FPC_SL_PI18,LAMINATE01,OP004,6653,6639,14,RUNNING,False,
1026,2025-01-23 09:05:20,WO-250104180000-111,FPC_SL_PI18,ETCH01,OP005,6639,6412,227,RUNNING,False,
1027,2025-01-29 12:46:57,WO-250104180000-111,FPC_SL_PI18,AOI_FPC01,OP001,6412,6048,364,RUNNING,False,
1028,2025-02-05 22:14:25,WO-250104180000-111,FPC_SL_PI18,TEST_E_FPC01,OP002,6048,6009,39,RUNNING,False,
1029,2025-01-16 02:51:25,WO-250104180000-861,FPC_SL_PI18,LAMINATE01,OP001,8386,7966,420,RUNNING,False,
