salesorderid,orderdate,requireddeliverydate,orderstatus,ordertotalamount,customerid,customername,salesorderlineid,productid,productname,producttype,targetyield,standardcycletime_seconds,quantityordered,lineunitprice,linetotalamount,linestatus
SO-20250102102817-300,2025-01-02,2025-02-02,Partially Shipped,99687.75,CUST005,Automotive Innovations Ltd.,227,FPC_DL_PI35,FPC Double Layer Polyimide 35um Cu,FPC,0.978,200,7418,5.75,42653.5,Partially_Shipped
SO-20250105083123-604,2025-01-05,2025-01-25,Partially Shipped,4867.2,CUST003,AeroSpace Dynamics,243,ASSY01_FPC_SL_PI18,Assembled FPC SL PI18 with SMT 01005,Assembled_FPC,0.992,180,385,7.8,3003.0,Partially_Shipped
SO-20241230134535-854,2024-12-30,2025-02-12,Partially Shipped,84661.3,CUST002,Future Devices Inc.,203,FPC_SL_LCP9_HF,"FPC Single Layer LCP 9um Cu, High-Freq",FPC,0.98,150,428,8.9,3809.2,Partially_Shipped
SO-20241231165659-497,2024-12-31,2025-01-28,Partially Shipped,6722.5,CUST002,Future Devices Inc.,213,FPC_ML4_MPI12,"FPC Multi-Layer (4L) Mod-PI 12um Cu, HDI",FPC,0.965,450,173,15.2,2629.6,Partially_Shipped
SO-20241231125652-876,2024-12-31,2025-02-13,Partially Shipped,95797.8,CUST003,AeroSpace Dynamics,216,FPC_ML4_MPI12,"FPC Multi-Layer (4L) Mod-PI 12um Cu, HDI",FPC,0.965,450,1089,15.2,16552.8,Partially_Shipped
SO-20250101083608-471,2025-01-01,2025-01-18,Partially Shipped,2293.2,CUST003,AeroSpace Dynamics,220,ASSY01_FPC_SL_PI18,Assembled FPC SL PI18 with SMT 01005,Assembled_FPC,0.992,180,294,7.8,2293.2,Partially_Shipped
SO-20250108080208-341,2025-01-08,2025-02-02,Partially Shipped,78949.0,CUST005,Automotive Innovations Ltd.,261,ASSY01_FPC_SL_PI18,Assembled FPC SL PI18 with SMT 01005,Assembled_FPC,0.992,180,115,7.8,897.0,Partially_Shipped
SO-20250106135136-981,2025-01-06,2025-02-17,Partially Shipped,4067.3,CUST003,AeroSpace Dynamics,251,FPC_SL_LCP9_HF,"FPC Single Layer LCP 9um Cu, High-Freq",FPC,0.98,150,457,8.9,4067.3,Partially_Shipped
SO-20250102102817-300,2025-01-02,2025-02-02,Partially Shipped,99687.75,CUST005,Automotive Innovations Ltd.,226,FPC_DL_PI35,FPC Double Layer Polyimide 35um Cu,FPC,0.978,200,9919,5.75,57034.25,Partially_Shipped
SO-20241230100112-962,2024-12-30,2025-02-06,Partially Shipped,70566.9,CUST004,MediEquip Corp.,205,ASSY01_FPC_SL_PI18,Assembled FPC SL PI18 with SMT 01005,Assembled_FPC,0.992,180,7893,7.8,61565.4,Partially_Shipped
SO-20241231165659-497,2024-12-31,2025-01-28,Partially Shipped,6722.5,CUST002,Future Devices Inc.,212,FPC_SL_LCP9_HF,"FPC Single Layer LCP 9um Cu, High-Freq",FPC,0.98,150,381,8.9,3390.9,Partially_Shipped
SO-20241231165659-497,2024-12-31,2025-01-28,Partially Shipped,6722.5,CUST002,Future Devices Inc.,214,ASSY01_FPC_SL_PI18,Assembled FPC SL PI18 with SMT 01005,Assembled_FPC,0.992,180,90,7.8,702.0,Partially_Shipped
SO-20250101080411-117,2025-01-01,2025-02-13,Partially Shipped,25503.3,CUST004,MediEquip Corp.,218,FPC_SL_PI18,FPC Single Layer Polyimide 18um Cu,FPC,0.985,120,9832,2.5,24580.0,Partially_Shipped
SO-20250101115512-490,2025-01-01,2025-02-03,Partially Shipped,12622.5,CUST005,Automotive Innovations Ltd.,221,ASSY02_FPC_ML4_MPI12,Assembled FPC ML4 MPI12 with Fine Pitch IC (ACF),Assembled_FPC,0.988,300,495,25.5,12622.5,Partially_Shipped
SO-20250102124433-829,2025-01-02,2025-01-15,Partially Shipped,35603.4,CUST004,MediEquip Corp.,223,ASSY01_FPC_SL_PI18,Assembled FPC SL PI18 with SMT 01005,Assembled_FPC,0.992,180,4503,7.8,35123.4,Partially_Shipped
SO-20250104145313-139,2025-01-04,2025-02-15,Partially Shipped,2073.7,CUST001,Global Tech Solutions,236,FPC_SL_LCP9_HF,"FPC Single Layer LCP 9um Cu, High-Freq",FPC,0.98,150,233,8.9,2073.7,Partially_Shipped
SO-20250110114444-316,2025-01-10,2025-01-27,Partially Shipped,24524.25,CUST005,Automotive Innovations Ltd.,274,MODULE_SENSOR_A,Sensor Module with FPC_DL_PI35 & Housing,Module,0.995,600,290,45.0,13050.0,Partially_Shipped
SO-20250105125345-137,2025-01-05,2025-02-15,Partially Shipped,312615.0,CUST003,AeroSpace Dynamics,244,MODULE_SENSOR_A,Sensor Module with FPC_DL_PI35 & Housing,Module,0.995,600,369,45.0,16605.0,Partially_Shipped
SO-20250107084839-906,2025-01-07,2025-01-30,Partially Shipped,2846.25,CUST004,MediEquip Corp.,257,FPC_DL_PI35,FPC Double Layer Polyimide 35um Cu,FPC,0.978,200,495,5.75,2846.25,Partially_Shipped
SO-20241231153445-452,2024-12-31,2025-02-09,Partially Shipped,50061.3,CUST005,Automotive Innovations Ltd.,209,ASSY02_FPC_ML4_MPI12,Assembled FPC ML4 MPI12 with Fine Pitch IC (ACF),Assembled_FPC,0.988,300,452,25.5,11526.0,Partially_Shipped
SO-20250101080411-117,2025-01-01,2025-02-13,Partially Shipped,25503.3,CUST004,MediEquip Corp.,217,FPC_SL_PI18,FPC Single Layer Polyimide 18um Cu,FPC,0.985,120,179,2.5,447.5,Partially_Shipped
SO-20250107111016-704,2025-01-07,2025-02-12,Partially Shipped,145909.3,CUST005,Automotive Innovations Ltd.,260,FPC_ML4_MPI12,"FPC Multi-Layer (4L) Mod-PI 12um Cu, HDI",FPC,0.965,450,9019,15.2,137088.8,Partially_Shipped
SO-20250107124312-357,2025-01-07,2025-01-17,Partially Shipped,12715.4,CUST003,AeroSpace Dynamics,253,FPC_ML4_MPI12,"FPC Multi-Layer (4L) Mod-PI 12um Cu, HDI",FPC,0.965,450,314,15.2,4772.8,Partially_Shipped
SO-20250108123544-127,2025-01-08,2025-01-24,Partially Shipped,95565.1,CUST005,Automotive Innovations Ltd.,264,FPC_DL_PI35,FPC Double Layer Polyimide 35um Cu,FPC,0.978,200,6206,5.75,35684.5,Partially_Shipped
SO-20250103113424-101,2025-01-03,2025-01-27,Partially Shipped,185310.0,CUST005,Automotive Innovations Ltd.,228,ASSY02_FPC_ML4_MPI12,Assembled FPC ML4 MPI12 with Fine Pitch IC (ACF),Assembled_FPC,0.988,300,6540,25.5,166770.0,Partially_Shipped
SO-20250109121414-345,2025-01-09,2025-02-03,Partially Shipped,1037.4,CUST001,Global Tech Solutions,265,ASSY01_FPC_SL_PI18,Assembled FPC SL PI18 with SMT 01005,Assembled_FPC,0.992,180,133,7.8,1037.4,Partially_Shipped
SO-20250110114444-316,2025-01-10,2025-01-27,Partially Shipped,24524.25,CUST005,Automotive Innovations Ltd.,272,FPC_DL_PI35,FPC Double Layer Polyimide 35um Cu,FPC,0.978,200,369,5.75,2121.75,Partially_Shipped
SO-20250107112207-875,2025-01-07,2025-02-01,Partially Shipped,22009.6,CUST004,MediEquip Corp.,256,FPC_SL_LCP9_HF,"FPC Single Layer LCP 9um Cu, High-Freq",FPC,0.98,150,314,8.9,2794.6,Partially_Shipped
SO-20250109133506-344,2025-01-09,2025-01-27,Partially Shipped,431257.25,CUST005,Automotive Innovations Ltd.,269,MODULE_SENSOR_A,Sensor Module with FPC_DL_PI35 & Housing,Module,0.995,600,9566,45.0,430470.0,Partially_Shipped
SO-20241231153445-452,2024-12-31,2025-02-09,Partially Shipped,50061.3,CUST005,Automotive Innovations Ltd.,211,FPC_DL_PI35,FPC Double Layer Polyimide 35um Cu,FPC,0.978,200,5462,5.75,31406.5,Partially_Shipped
SO-20241231153445-452,2024-12-31,2025-02-09,Partially Shipped,50061.3,CUST005,Automotive Innovations Ltd.,210,FPC_ML4_MPI12,"FPC Multi-Layer (4L) Mod-PI 12um Cu, HDI",FPC,0.965,450,469,15.2,7128.8,Partially_Shipped
SO-20250103132211-632,2025-01-03,2025-01-30,Partially Shipped,519703.8,CUST004,MediEquip Corp.,231,ASSY02_FPC_ML4_MPI12,Assembled FPC ML4 MPI12 with Fine Pitch IC (ACF),Assembled_FPC,0.988,300,76,25.5,1938.0,Partially_Shipped
SO-20250103132211-632,2025-01-03,2025-01-30,Partially Shipped,519703.8,CUST004,MediEquip Corp.,232,MODULE_SENSOR_A,Sensor Module with FPC_DL_PI35 & Housing,Module,0.995,600,9801,45.0,441045.0,Partially_Shipped
SO-20250103132211-632,2025-01-03,2025-01-30,Partially Shipped,519703.8,CUST004,MediEquip Corp.,230,ASSY01_FPC_SL_PI18,Assembled FPC SL PI18 with SMT 01005,Assembled_FPC,0.992,180,9836,7.8,76720.8,Partially_Shipped
SO-20250103113424-101,2025-01-03,2025-01-27,Partially Shipped,185310.0,CUST005,Automotive Innovations Ltd.,229,MODULE_SENSOR_A,Sensor Module with FPC_DL_PI35 & Housing,Module,0.995,600,412,45.0,18540.0,Partially_Shipped
SO-20250102124433-829,2025-01-02,2025-01-15,Partially Shipped,35603.4,CUST004,MediEquip Corp.,222,FPC_SL_PI18,FPC Single Layer Polyimide 18um Cu,FPC,0.985,120,192,2.5,480.0,Partially_Shipped
SO-20250104101941-549,2025-01-04,2025-02-17,Partially Shipped,266332.5,CUST003,AeroSpace Dynamics,235,ASSY02_FPC_ML4_MPI12,Assembled FPC ML4 MPI12 with Fine Pitch IC (ACF),Assembled_FPC,0.988,300,8970,25.5,228735.0,Partially_Shipped
SO-20250104132224-768,2025-01-04,2025-01-27,Partially Shipped,225027.3,CUST001,Global Tech Solutions,240,ASSY02_FPC_ML4_MPI12,Assembled FPC ML4 MPI12 with Fine Pitch IC (ACF),Assembled_FPC,0.988,300,8472,25.5,216036.0,Partially_Shipped
SO-20250105125345-137,2025-01-05,2025-02-15,Partially Shipped,312615.0,CUST003,AeroSpace Dynamics,245,MODULE_SENSOR_A,Sensor Module with FPC_DL_PI35 & Housing,Module,0.995,600,6578,45.0,296010.0,Partially_Shipped
SO-20250105101939-987,2025-01-05,2025-01-24,Partially Shipped,3813.7,CUST001,Global Tech Solutions,246,ASSY01_FPC_SL_PI18,Assembled FPC SL PI18 with SMT 01005,Assembled_FPC,0.992,180,329,7.8,2566.2,Partially_Shipped
SO-20250101080411-117,2025-01-01,2025-02-13,Partially Shipped,25503.3,CUST004,MediEquip Corp.,219,ASSY01_FPC_SL_PI18,Assembled FPC SL PI18 with SMT 01005,Assembled_FPC,0.992,180,61,7.8,475.8,Partially_Shipped
SO-20250104101941-549,2025-01-04,2025-02-17,Partially Shipped,266332.5,CUST003,AeroSpace Dynamics,233,FPC_SL_PI18,FPC Single Layer Polyimide 18um Cu,FPC,0.985,120,8386,2.5,20965.0,Partially_Shipped
SO-20250110151507-612,2025-01-10,2025-01-23,Partially Shipped,64964.8,CUST004,MediEquip Corp.,271,FPC_ML4_MPI12,"FPC Multi-Layer (4L) Mod-PI 12um Cu, HDI",FPC,0.965,450,4274,15.2,64964.8,Partially_Shipped
SO-20250108080208-341,2025-01-08,2025-02-02,Partially Shipped,78949.0,CUST005,Automotive Innovations Ltd.,262,FPC_ML4_MPI12,"FPC Multi-Layer (4L) Mod-PI 12um Cu, HDI",FPC,0.965,450,5135,15.2,78052.0,Partially_Shipped
SO-20250109094519-558,2025-01-09,2025-01-26,Partially Shipped,15927.6,CUST004,MediEquip Corp.,266,ASSY01_FPC_SL_PI18,Assembled FPC SL PI18 with SMT 01005,Assembled_FPC,0.992,180,2042,7.8,15927.6,Partially_Shipped
SO-20250110114444-316,2025-01-10,2025-01-27,Partially Shipped,24524.25,CUST005,Automotive Innovations Ltd.,273,FPC_SL_PI18,FPC Single Layer Polyimide 18um Cu,FPC,0.985,120,3741,2.5,9352.5,Partially_Shipped
SO-20250106113838-835,2025-01-06,2025-02-07,Partially Shipped,120196.1,CUST004,MediEquip Corp.,249,FPC_DL_PI35,FPC Double Layer Polyimide 35um Cu,FPC,0.978,200,238,5.75,1368.5,Partially_Shipped
SO-20250106113838-835,2025-01-06,2025-02-07,Partially Shipped,120196.1,CUST004,MediEquip Corp.,250,MODULE_SENSOR_A,Sensor Module with FPC_DL_PI35 & Housing,Module,0.995,600,2590,45.0,116550.0,Partially_Shipped
SO-20250109124927-864,2025-01-09,2025-01-30,Partially Shipped,6545.0,CUST005,Automotive Innovations Ltd.,267,FPC_SL_PI18,FPC Single Layer Polyimide 18um Cu,FPC,0.985,120,2618,2.5,6545.0,Partially_Shipped
SO-20250108123544-127,2025-01-08,2025-01-24,Partially Shipped,95565.1,CUST005,Automotive Innovations Ltd.,263,ASSY01_FPC_SL_PI18,Assembled FPC SL PI18 with SMT 01005,Assembled_FPC,0.992,180,7677,7.8,59880.6,Partially_Shipped
SO-20250104153355-429,2025-01-04,2025-02-11,Partially Shipped,17062.5,CUST001,Global Tech Solutions,238,FPC_SL_PI18,FPC Single Layer Polyimide 18um Cu,FPC,0.985,120,260,2.5,650.0,Partially_Shipped
SO-20250106113838-835,2025-01-06,2025-02-07,Partially Shipped,120196.1,CUST004,MediEquip Corp.,248,ASSY01_FPC_SL_PI18,Assembled FPC SL PI18 with SMT 01005,Assembled_FPC,0.992,180,292,7.8,2277.6,Partially_Shipped
SO-20250120092214-218,2025-01-20,2025-02-28,Partially Shipped,14279.5,CUST003,AeroSpace Dynamics,333,MODULE_SENSOR_A,Sensor Module with FPC_DL_PI35 & Housing,Module,0.995,600,161,45.0,7245.0,Partially_Shipped
SO-20250111114017-963,2025-01-11,2025-02-19,Partially Shipped,236691.0,CUST001,Global Tech Solutions,286,ASSY01_FPC_SL_PI18,Assembled FPC SL PI18 with SMT 01005,Assembled_FPC,0.992,180,345,7.8,2691.0,Partially_Shipped
SO-20250121111622-247,2025-01-21,2025-02-11,Partially Shipped,65496.6,CUST005,Automotive Innovations Ltd.,338,ASSY01_FPC_SL_PI18,Assembled FPC SL PI18 with SMT 01005,Assembled_FPC,0.992,180,8397,7.8,65496.6,Partially_Shipped
SO-20250119082338-231,2025-01-19,2025-02-16,Partially Shipped,6652.5,CUST002,Future Devices Inc.,327,FPC_SL_PI18,FPC Single Layer Polyimide 18um Cu,FPC,0.985,120,2661,2.5,6652.5,Partially_Shipped
SO-20250114082716-133,2025-01-14,2025-02-24,Partially Shipped,57838.65,CUST005,Automotive Innovations Ltd.,301,FPC_DL_PI35,FPC Double Layer Polyimide 35um Cu,FPC,0.978,200,6225,5.75,35793.75,Partially_Shipped
SO-20250118140610-295,2025-01-18,2025-01-29,Partially Shipped,206328.8,CUST005,Automotive Innovations Ltd.,319,ASSY01_FPC_SL_PI18,Assembled FPC SL PI18 with SMT 01005,Assembled_FPC,0.992,180,445,7.8,3471.0,Partially_Shipped
SO-20250118081002-941,2025-01-18,2025-03-03,Partially Shipped,89083.8,CUST004,MediEquip Corp.,317,FPC_ML4_MPI12,"FPC Multi-Layer (4L) Mod-PI 12um Cu, HDI",FPC,0.965,450,4819,15.2,73248.8,Partially_Shipped
SO-20250116084748-711,2025-01-16,2025-02-19,Partially Shipped,30895.1,CUST004,MediEquip Corp.,309,FPC_SL_LCP9_HF,"FPC Single Layer LCP 9um Cu, High-Freq",FPC,0.98,150,379,8.9,3373.1,Partially_Shipped
SO-20250111080225-542,2025-01-11,2025-01-26,Partially Shipped,10030.0,CUST002,Future Devices Inc.,283,FPC_SL_PI18,FPC Single Layer Polyimide 18um Cu,FPC,0.985,120,304,2.5,760.0,Partially_Shipped
SO-20250118140610-295,2025-01-18,2025-01-29,Partially Shipped,206328.8,CUST005,Automotive Innovations Ltd.,321,ASSY02_FPC_ML4_MPI12,Assembled FPC ML4 MPI12 with Fine Pitch IC (ACF),Assembled_FPC,0.988,300,7869,25.5,200659.5,Partially_Shipped
SO-20250118141053-767,2025-01-18,2025-02-26,Partially Shipped,8310.4,CUST001,Global Tech Solutions,325,FPC_ML4_MPI12,"FPC Multi-Layer (4L) Mod-PI 12um Cu, HDI",FPC,0.965,450,151,15.2,2295.2,Partially_Shipped
SO-20250114082716-133,2025-01-14,2025-02-24,Partially Shipped,57838.65,CUST005,Automotive Innovations Ltd.,299,ASSY01_FPC_SL_PI18,Assembled FPC SL PI18 with SMT 01005,Assembled_FPC,0.992,180,333,7.8,2597.4,Partially_Shipped
SO-20250117083041-641,2025-01-17,2025-03-03,Partially Shipped,67080.8,CUST005,Automotive Innovations Ltd.,314,FPC_ML4_MPI12,"FPC Multi-Layer (4L) Mod-PI 12um Cu, HDI",FPC,0.965,450,295,15.2,4484.0,Partially_Shipped
SO-20250119091522-407,2025-01-19,2025-01-30,Partially Shipped,212448.0,CUST004,MediEquip Corp.,329,MODULE_SENSOR_A,Sensor Module with FPC_DL_PI35 & Housing,Module,0.995,600,263,45.0,11835.0,Partially_Shipped
SO-20250117083041-641,2025-01-17,2025-03-03,Partially Shipped,67080.8,CUST005,Automotive Innovations Ltd.,315,ASSY02_FPC_ML4_MPI12,Assembled FPC ML4 MPI12 with Fine Pitch IC (ACF),Assembled_FPC,0.988,300,257,25.5,6553.5,Partially_Shipped
SO-20250121110400-921,2025-01-21,2025-02-25,Partially Shipped,88326.0,CUST002,Future Devices Inc.,336,ASSY02_FPC_ML4_MPI12,Assembled FPC ML4 MPI12 with Fine Pitch IC (ACF),Assembled_FPC,0.988,300,188,25.5,4794.0,Partially_Shipped
SO-20250119091522-407,2025-01-19,2025-01-30,Partially Shipped,212448.0,CUST004,MediEquip Corp.,328,MODULE_SENSOR_A,Sensor Module with FPC_DL_PI35 & Housing,Module,0.995,600,165,45.0,7425.0,Partially_Shipped
SO-20250111140312-671,2025-01-11,2025-02-01,Partially Shipped,70025.2,CUST002,Future Devices Inc.,276,FPC_SL_PI18,FPC Single Layer Polyimide 18um Cu,FPC,0.985,120,462,2.5,1155.0,Partially_Shipped
SO-20250118105909-781,2025-01-18,2025-02-23,Partially Shipped,47574.7,CUST003,AeroSpace Dynamics,322,FPC_SL_PI18,FPC Single Layer Polyimide 18um Cu,FPC,0.985,120,79,2.5,197.5,Partially_Shipped
SO-20250114081703-919,2025-01-14,2025-02-14,Partially Shipped,92726.6,CUST004,MediEquip Corp.,298,FPC_SL_LCP9_HF,"FPC Single Layer LCP 9um Cu, High-Freq",FPC,0.98,150,319,8.9,2839.1,Partially_Shipped
SO-20250114082716-133,2025-01-14,2025-02-24,Partially Shipped,57838.65,CUST005,Automotive Innovations Ltd.,300,FPC_SL_PI18,FPC Single Layer Polyimide 18um Cu,FPC,0.985,120,7779,2.5,19447.5,Partially_Shipped
SO-20250114081703-919,2025-01-14,2025-02-14,Partially Shipped,92726.6,CUST004,MediEquip Corp.,296,ASSY02_FPC_ML4_MPI12,Assembled FPC ML4 MPI12 with Fine Pitch IC (ACF),Assembled_FPC,0.988,300,165,25.5,4207.5,Partially_Shipped
SO-20250114163054-401,2025-01-14,2025-01-28,Partially Shipped,5805.35,CUST002,Future Devices Inc.,303,FPC_ML4_MPI12,"FPC Multi-Layer (4L) Mod-PI 12um Cu, HDI",FPC,0.965,450,203,15.2,3085.6,Partially_Shipped
SO-20250111140312-671,2025-01-11,2025-02-01,Partially Shipped,70025.2,CUST002,Future Devices Inc.,275,FPC_DL_PI35,FPC Double Layer Polyimide 35um Cu,FPC,0.978,200,116,5.75,667.0,Partially_Shipped
SO-20250111111552-849,2025-01-11,2025-01-29,Partially Shipped,156824.0,CUST001,Global Tech Solutions,281,FPC_DL_PI35,FPC Double Layer Polyimide 35um Cu,FPC,0.978,200,3898,5.75,22413.5,Partially_Shipped
SO-20250111080225-542,2025-01-11,2025-01-26,Partially Shipped,10030.0,CUST002,Future Devices Inc.,284,MODULE_SENSOR_A,Sensor Module with FPC_DL_PI35 & Housing,Module,0.995,600,206,45.0,9270.0,Partially_Shipped
SO-20250116084748-711,2025-01-16,2025-02-19,Partially Shipped,30895.1,CUST004,MediEquip Corp.,307,FPC_ML4_MPI12,"FPC Multi-Layer (4L) Mod-PI 12um Cu, HDI",FPC,0.965,450,360,15.2,5472.0,Partially_Shipped
SO-20250116114830-971,2025-01-16,2025-02-06,Partially Shipped,6009.3,CUST002,Future Devices Inc.,312,ASSY01_FPC_SL_PI18,Assembled FPC SL PI18 with SMT 01005,Assembled_FPC,0.992,180,322,7.8,2511.6,Partially_Shipped
SO-20250112125553-479,2025-01-12,2025-02-07,Partially Shipped,26132.2,CUST003,AeroSpace Dynamics,289,FPC_ML4_MPI12,"FPC Multi-Layer (4L) Mod-PI 12um Cu, HDI",FPC,0.965,450,369,15.2,5608.8,Partially_Shipped
SO-20250112125553-479,2025-01-12,2025-02-07,Partially Shipped,26132.2,CUST003,AeroSpace Dynamics,288,FPC_SL_LCP9_HF,"FPC Single Layer LCP 9um Cu, High-Freq",FPC,0.98,150,2083,8.9,18538.7,Partially_Shipped
SO-20250118141053-767,2025-01-18,2025-02-26,Partially Shipped,8310.4,CUST001,Global Tech Solutions,324,FPC_DL_PI35,FPC Double Layer Polyimide 35um Cu,FPC,0.978,200,224,5.75,1288.0,Partially_Shipped
SO-20250116114830-971,2025-01-16,2025-02-06,Partially Shipped,6009.3,CUST002,Future Devices Inc.,311,FPC_SL_LCP9_HF,"FPC Single Layer LCP 9um Cu, High-Freq",FPC,0.98,150,393,8.9,3497.7,Partially_Shipped
SO-20250115094211-701,2025-01-15,2025-02-06,Partially Shipped,19080.0,CUST005,Automotive Innovations Ltd.,306,MODULE_SENSOR_A,Sensor Module with FPC_DL_PI35 & Housing,Module,0.995,600,424,45.0,19080.0,Partially_Shipped
SO-20250116084748-711,2025-01-16,2025-02-19,Partially Shipped,30895.1,CUST004,MediEquip Corp.,308,MODULE_SENSOR_A,Sensor Module with FPC_DL_PI35 & Housing,Module,0.995,600,490,45.0,22050.0,Partially_Shipped
SO-20250117084255-844,2025-01-17,2025-02-04,Partially Shipped,3375.0,CUST005,Automotive Innovations Ltd.,316,MODULE_SENSOR_A,Sensor Module with FPC_DL_PI35 & Housing,Module,0.995,600,75,45.0,3375.0,Partially_Shipped
SO-20250118141053-767,2025-01-18,2025-02-26,Partially Shipped,8310.4,CUST001,Global Tech Solutions,326,FPC_ML4_MPI12,"FPC Multi-Layer (4L) Mod-PI 12um Cu, HDI",FPC,0.965,450,311,15.2,4727.2,Partially_Shipped
SO-20250111140425-782,2025-01-11,2025-02-07,Partially Shipped,23482.5,CUST003,AeroSpace Dynamics,280,MODULE_SENSOR_A,Sensor Module with FPC_DL_PI35 & Housing,Module,0.995,600,461,45.0,20745.0,Partially_Shipped
SO-20250112080652-865,2025-01-12,2025-01-27,Partially Shipped,3955.0,CUST003,AeroSpace Dynamics,291,FPC_SL_PI18,FPC Single Layer Polyimide 18um Cu,FPC,0.985,120,178,2.5,445.0,Partially_Shipped
SO-20250113110302-185,2025-01-13,2025-02-18,Partially Shipped,10965.0,CUST003,AeroSpace Dynamics,292,ASSY02_FPC_ML4_MPI12,Assembled FPC ML4 MPI12 with Fine Pitch IC (ACF),Assembled_FPC,0.988,300,430,25.5,10965.0,Partially_Shipped
SO-20250113095259-544,2025-01-13,2025-02-13,Partially Shipped,38610.5,CUST003,AeroSpace Dynamics,294,FPC_DL_PI35,FPC Double Layer Polyimide 35um Cu,FPC,0.978,200,6674,5.75,38375.5,Partially_Shipped
SO-20250118081002-941,2025-01-18,2025-03-03,Partially Shipped,89083.8,CUST004,MediEquip Corp.,318,FPC_SL_PI18,FPC Single Layer Polyimide 18um Cu,FPC,0.985,120,6334,2.5,15835.0,Partially_Shipped
SO-20250117083041-641,2025-01-17,2025-03-03,Partially Shipped,67080.8,CUST005,Automotive Innovations Ltd.,313,FPC_SL_LCP9_HF,"FPC Single Layer LCP 9um Cu, High-Freq",FPC,0.98,150,6297,8.9,56043.3,Partially_Shipped
SO-20250118140610-295,2025-01-18,2025-01-29,Partially Shipped,206328.8,CUST005,Automotive Innovations Ltd.,320,FPC_SL_LCP9_HF,"FPC Single Layer LCP 9um Cu, High-Freq",FPC,0.98,150,247,8.9,2198.3,Partially_Shipped
SO-20250119091522-407,2025-01-19,2025-01-30,Partially Shipped,212448.0,CUST004,MediEquip Corp.,330,ASSY02_FPC_ML4_MPI12,Assembled FPC ML4 MPI12 with Fine Pitch IC (ACF),Assembled_FPC,0.988,300,7576,25.5,193188.0,Partially_Shipped
SO-20250111140312-671,2025-01-11,2025-02-01,Partially Shipped,70025.2,CUST002,Future Devices Inc.,277,ASSY01_FPC_SL_PI18,Assembled FPC SL PI18 with SMT 01005,Assembled_FPC,0.992,180,8744,7.8,68203.2,Partially_Shipped
SO-20250111111552-849,2025-01-11,2025-01-29,Partially Shipped,156824.0,CUST001,Global Tech Solutions,282,ASSY02_FPC_ML4_MPI12,Assembled FPC ML4 MPI12 with Fine Pitch IC (ACF),Assembled_FPC,0.988,300,5271,25.5,134410.5,Partially_Shipped
SO-20250112080652-865,2025-01-12,2025-01-27,Partially Shipped,3955.0,CUST003,AeroSpace Dynamics,290,MODULE_SENSOR_A,Sensor Module with FPC_DL_PI35 & Housing,Module,0.995,600,78,45.0,3510.0,Partially_Shipped
SO-20250112125553-479,2025-01-12,2025-02-07,Partially Shipped,26132.2,CUST003,AeroSpace Dynamics,287,FPC_SL_LCP9_HF,"FPC Single Layer LCP 9um Cu, High-Freq",FPC,0.98,150,223,8.9,1984.7,Partially_Shipped
SO-20250111140425-782,2025-01-11,2025-02-07,Partially Shipped,23482.5,CUST003,AeroSpace Dynamics,279,FPC_ML4_MPI12,"FPC Multi-Layer (4L) Mod-PI 12um Cu, HDI",FPC,0.965,450,87,15.2,1322.4,Partially_Shipped
SO-20250114081703-919,2025-01-14,2025-02-14,Partially Shipped,92726.6,CUST004,MediEquip Corp.,297,MODULE_SENSOR_A,Sensor Module with FPC_DL_PI35 & Housing,Module,0.995,600,1904,45.0,85680.0,Partially_Shipped
SO-20250113095259-544,2025-01-13,2025-02-13,Partially Shipped,38610.5,CUST003,AeroSpace Dynamics,293,FPC_SL_PI18,FPC Single Layer Polyimide 18um Cu,FPC,0.985,120,94,2.5,235.0,Partially_Shipped
SO-20250111140425-782,2025-01-11,2025-02-07,Partially Shipped,23482.5,CUST003,AeroSpace Dynamics,278,FPC_SL_LCP9_HF,"FPC Single Layer LCP 9um Cu, High-Freq",FPC,0.98,150,159,8.9,1415.1,Partially_Shipped
SO-20250111114017-963,2025-01-11,2025-02-19,Partially Shipped,236691.0,CUST001,Global Tech Solutions,285,MODULE_SENSOR_A,Sensor Module with FPC_DL_PI35 & Housing,Module,0.995,600,5200,45.0,234000.0,Partially_Shipped
SO-20250115135231-345,2025-01-15,2025-02-22,Partially Shipped,10323.4,CUST003,AeroSpace Dynamics,304,FPC_ML4_MPI12,"FPC Multi-Layer (4L) Mod-PI 12um Cu, HDI",FPC,0.965,450,458,15.2,6961.6,Partially_Shipped
SO-20250119132534-486,2025-01-19,2025-02-13,Partially Shipped,6384.0,CUST003,AeroSpace Dynamics,331,FPC_ML4_MPI12,"FPC Multi-Layer (4L) Mod-PI 12um Cu, HDI",FPC,0.965,450,420,15.2,6384.0,Partially_Shipped
SO-20250118105909-781,2025-01-18,2025-02-23,Partially Shipped,47574.7,CUST003,AeroSpace Dynamics,323,ASSY01_FPC_SL_PI18,Assembled FPC SL PI18 with SMT 01005,Assembled_FPC,0.992,180,6074,7.8,47377.2,Partially_Shipped
SO-20250120092214-218,2025-01-20,2025-02-28,Partially Shipped,14279.5,CUST003,AeroSpace Dynamics,334,MODULE_SENSOR_A,Sensor Module with FPC_DL_PI35 & Housing,Module,0.995,600,130,45.0,5850.0,Partially_Shipped
